FVC_POS,LVC,LV_POS,nominal_POS,punctive/durative,count/mass syntax,source,identical nominal?,related nominal?,passive?,comments
sense_VERB,have a sense,have_VERB,sense_SUBST,durative,count,Brugman (2001),TRUE,TRUE,FALSE,
shave_VERB,have a shave,have_VERB,shave_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
shower_VERB,have a shower,have _VERB,shower_SUBST,durative,count,Brugman (2001),TRUE,TRUE,FALSE,
sip_VERB,have a sip,have_VERB,sip_SUBST,punctive,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
smell_VERB,have a smell,have_VERB,smell_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
smoke_VERB,have a smoke,have_VERB,smoke_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
sniff_VERB,have a sniff,have_VERB,sniff_SUBST,punctive,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
spill_VERB,have a spill,have _VERB,spill_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
stab_VERB,have a stab,have_VERB,stab_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
suck_VERB,have a suck,have_VERB,suck_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
swim_VERB,have a swim,have_VERB,swim_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,
talk_VERB,have a talk,have_VERB,talk_SUBST,durative,count,Brugman (2001),TRUE,TRUE,FALSE,have a talk to/with
taste_VERB,have a taste,have _VERB,taste_SUBST,durative,count,Wierzbicka (1982),TRUE,TRUE,FALSE,have a taste (of)
recognise_VERB,give recognition,give_VERB,recognition_SUBST,durative,mass,Wittenberg & Levy (2017),FALSE,TRUE,FALSE,
